Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1553153489349804033,Happy National Lipstick Day.  @hauslabs and @sephora had a new baby 💋 and it’s ZERO TRANSFER PATENT HIGH-SHINE ALL DAY  https://t.co/lZHFESvehK,Lady Gaga,ladygaga,2022-07-29T23:00:22.000Z,Fri Jul 29 23:00:22 +0000 2022,8379,968,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://www.instagram.com/reel/Cgm3M8jjn-R/?igshid=MDJmNzVkMjY= ,0,2,,,,,
1553144554370498560,@Heloisegaga08 Looks like a chia seed 🥹 that’s what happens when you go live sh*t happens and it’s all beautiful!,Lady Gaga,ladygaga,2022-07-29T22:24:52.000Z,Fri Jul 29 22:24:52 +0000 2022,3808,317,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1552456416551751683,My favorite we’ve done yet 🖤 a lip that’s truly a work of art! https://t.co/MDywqsMZqF,Lady Gaga,ladygaga,2022-07-28T00:50:27.000Z,Thu Jul 28 00:50:27 +0000 2022,23288,2023,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/Sephora/status/1552433055021015040 ,0,0,,,,,
1552412228627972096,@gagamajesty 👀,Lady Gaga,ladygaga,2022-07-27T21:54:52.000Z,Wed Jul 27 21:54:52 +0000 2022,3983,331,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1552331820854718464,"BEAUTY BAKE-OFF ON TIKTOK
Bake Atomic Shake for 15 seconds for zero transfer high-shine magic!
https://t.co/8aOvgDmorn https://t.co/V8BPZo04BF",Lady Gaga,ladygaga,2022-07-27T16:35:21.000Z,Wed Jul 27 16:35:21 +0000 2022,16921,2163,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://www.tiktok.com/@ladygaga/video/7125081735657753902 ,0,0,video,https://video.twimg.com/ext_tw_video/1552331775929503744/pu/vid/576x1024/YQLepZo6yiiLfbnw.mp4?tag=12,,,
1552272541867286530,FACT https://t.co/0ZJlCLlytP,Lady Gaga,ladygaga,2022-07-27T12:39:48.000Z,Wed Jul 27 12:39:48 +0000 2022,45906,4716,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/gagapicturescom/status/1552171001320013825 ,0,0,,,,,
1552077992569909248,"RT @hauslabs : ATOMIC SHAKE LIP LACQUER IS HERE❗Introducing a truly revolutionary clean, high-shine, transfer-proof liquid lipstick that delivers saturated color with a glossy finish that lasts all day. https://t.co/oC0AnGq6rA https://t.co/DPhX7bX9g8",Lady Gaga,ladygaga,2022-07-26T23:46:44.000Z,Tue Jul 26 23:46:44 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://bit.ly/3RZUxbN ,0,0,photo,https://pbs.twimg.com/media/FYmwZWrUcAAe4IH.jpg,,,
1551963650574782465,And you get FIVE STARS for making me cry in hair and makeup before my show tonight! Thank you we love you so much.  Community is life 🙏🖤🖤🖤🖤🌟🌟🌟🌟🌟 https://t.co/RRpEeqbTyZ,Lady Gaga,ladygaga,2022-07-26T16:12:23.000Z,Tue Jul 26 16:12:23 +0000 2022,24654,2466,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/gaytimes/status/1551961040442867713 ,0,0,,,,,
1551331406948831233,THAT WAS SO FUN YOU ARE PURE LOVE !!!  🖤🖤🖤 #ChromaticaBallParis,Lady Gaga,ladygaga,2022-07-24T22:20:04.000Z,Sun Jul 24 22:20:04 +0000 2022,48165,6641,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,,,,,
1551272652446244865,STAY SAFE DRINK WATER ITS HOT OUT THERE NO DRUGS I LOVE YOU 🖤🐾 https://t.co/xWu33nqh7K,Lady Gaga,ladygaga,2022-07-24T18:26:36.000Z,Sun Jul 24 18:26:36 +0000 2022,80101,8562,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FYc6QVCXoAIOUz7.jpg,,,
